Date,Name,Year,Letterboxd URI,Rating
2023-06-10,Dhamaka,2021,https://boxd.it/sPNy,2.5
2023-06-12,About Time,2013,https://boxd.it/43bI,5
2023-06-13,Ave Kallu,1967,https://boxd.it/9CgI,4
2023-06-14,Nayattu,2021,https://boxd.it/sjf0,4
2023-06-14,Pachuvum Athbhuthavilakkum,2023,https://boxd.it/uLqO,4.5
2023-06-15,Sulthan,2021,https://boxd.it/tOja,2.5
2023-06-15,iSmart Shankar,2019,https://boxd.it/muXg,3
2023-06-15,Rakshasudu,2019,https://boxd.it/mo0s,3.5
2023-06-15,The Lion King,2019,https://boxd.it/eSjI,3
2023-06-15,Oh! Baby,2019,https://boxd.it/mpKG,3
2023-06-15,Jiivi,2019,https://boxd.it/my4u,4
2023-06-15,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2023-06-15,Agent Sai Srinivasa Athreya,2019,https://boxd.it/mygg,4
2023-06-15,1st Rank Raju,2019,https://boxd.it/my4E,2
2023-06-15,Game Over,2019,https://boxd.it/kevw,2.5
2023-06-15,Toy Story 4,2019,https://boxd.it/9ALu,3
2023-06-15,Virus,2019,https://boxd.it/lwO4,2.5
2023-06-15,Kolaigaran,2019,https://boxd.it/lBfe,3.5
2023-06-15,Article 15,2019,https://boxd.it/m0mO,3.5
2023-06-15,Sita,2019,https://boxd.it/mjoO,2
2023-06-15,ABCD: American-Born Confused Desi,2019,https://boxd.it/lD8k,2
2023-06-15,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2023-06-15,Jersey,2019,https://boxd.it/lQjU,4.5
2023-06-15,Athiran,2019,https://boxd.it/lPmS,3
2023-06-15,Majili,2019,https://boxd.it/kZ6y,3
2023-06-15,Super Deluxe,2019,https://boxd.it/fjRW,3.5
2023-06-15,Arjun Suravaram,2019,https://boxd.it/kLC6,3
2023-06-15,Lucifer,2019,https://boxd.it/kHxw,3.5
2023-06-15,Captain Marvel,2019,https://boxd.it/9vSA,2
2023-06-15,118,2019,https://boxd.it/lxIG,2.5
2023-06-15,Bell Bottom,2019,https://boxd.it/lvuM,3.5
2023-06-15,Dev,2019,https://boxd.it/jEPU,2
2023-06-15,Yatra,2019,https://boxd.it/iWfy,3.5
2023-06-15,Petta,2019,https://boxd.it/jtnK,3
2023-06-15,Bluff Master,2018,https://boxd.it/kYy2,2.5
2023-06-15,Njan Prakashan,2018,https://boxd.it/kG0c,4
2023-06-15,Maari 2,2018,https://boxd.it/hMlu,2.5
2023-06-15,Padi Padi Leche Manasu,2018,https://boxd.it/kLmi,2
2023-06-15,K.G.F: Chapter 1,2018,https://boxd.it/kGf2,4
2023-06-15,Antariksham 9000 KMPH,2018,https://boxd.it/kLGW,2.5
2023-06-15,Hushaaru,2018,https://boxd.it/kIue,3
2023-06-15,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2023-06-15,2.0,2018,https://boxd.it/cXRm,2.5
2023-06-15,Aquaman,2018,https://boxd.it/9ru0,3
2023-06-15,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,3
2023-06-15,Savyasachi,2018,https://boxd.it/jx72,3
2023-06-15,Badhaai Ho,2018,https://boxd.it/jZv2,3.5
2023-06-15,Vada Chennai,2018,https://boxd.it/esfK,3
2023-06-15,Ratsasan,2018,https://boxd.it/eyFu,4
2023-06-15,Nota,2018,https://boxd.it/iyfY,2.5
2023-06-15,Bhale Manchi Chowka Beram,2018,https://boxd.it/kfp0,3
2023-06-15,96,2018,https://boxd.it/fHYM,3.5
2023-06-15,Nannu Dochukunduvate,2018,https://boxd.it/k4TS,3
2023-06-15,Silly Fellows,2018,https://boxd.it/k1vS,2
2023-06-15,Shailaja Reddy Alludu,2018,https://boxd.it/jxag,2
2023-06-15,Paper Boy,2018,https://boxd.it/jJry,3.5
2023-06-15,Tumbbad,2018,https://boxd.it/jDZk,4
2023-06-15,Imaikkaa Nodigal,2018,https://boxd.it/eEnw,2.5
2023-06-15,Neevevaro,2018,https://boxd.it/jRUy,3
2023-06-15,Geetha Govindam,2018,https://boxd.it/jHkg,3.5
2023-06-15,Goodachari,2018,https://boxd.it/jGLg,4
2023-06-15,Brand Babu,2018,https://boxd.it/jH6I,3
2023-06-15,RX 100,2018,https://boxd.it/juhI,3.5
2023-06-15,Pantham,2018,https://boxd.it/jrVq,2
2023-06-15,Ee Nagaraniki Emaindi?,2018,https://boxd.it/jnYq,5
2023-06-15,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,3
2023-06-15,Tik Tik Tik,2018,https://boxd.it/guH6,3.5
2023-06-15,Taxiwala,2018,https://boxd.it/iSEu,2.5
2023-06-15,Raju Gadu,2018,https://boxd.it/jdrc,2
2023-06-15,Nela Ticket,2018,https://boxd.it/j8Ma,1.5
2023-06-15,Irumbu Thirai,2018,https://boxd.it/hykC,4
2023-06-15,Deadpool 2,2018,https://boxd.it/dlLM,4
2023-06-15,Achari America Yatra,2018,https://boxd.it/ii4K,3
2023-06-15,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2023-06-15,Bharat Ane Nenu,2018,https://boxd.it/i7KA,3.5
2023-06-15,Mercury,2018,https://boxd.it/gzIe,2
2023-06-15,Krishnarjuna Yudham,2018,https://boxd.it/i4r6,3.5
2023-06-15,Chal Mohan Ranga,2018,https://boxd.it/ipL2,3
2023-06-15,Rangasthalam,2018,https://boxd.it/gu8K,4
2023-06-15,Needi Naadi Oke Katha,2018,https://boxd.it/iBTi,4.5
2023-06-15,Manchi Lakshanalunna Abbayi,2018,https://boxd.it/imDO,2
2023-06-15,Kirrak Party,2018,https://boxd.it/ipM0,2.5
2023-06-15,Tholi Prema,2018,https://boxd.it/i48S,2.5
2023-06-15,Chalo,2018,https://boxd.it/i2PA,3.5
2023-06-15,Black Panther,2018,https://boxd.it/8MHs,3
2023-06-15,Hereditary,2018,https://boxd.it/hNVe,3
2023-06-15,Thaanaa Serndha Koottam,2018,https://boxd.it/fmzc,3.5
