Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-07-19,Back to the Future,1985,https://boxd.it/4xDbEX,5,Yes,"""<b><i>Back to the Future: 2nd Viewing in 24 Hours!""</i></b>

<i>Watching ""Back to the Future"" for the second time in just 24 hours was a thrill. The time-travel plot and the characters' escapades are still as exciting. This movie is clearly timeless and keeps drawing you back!""</i>",,2023-07-19
2023-07-19,Back to the Future Part II,1989,https://boxd.it/4xDcIh,4,,"<i><b>Amazing as the first one</b>

This sequel doesn't disappointed me.I very much liked the taking,direction,music it's all good...A good sequel </i>",,2023-07-19
2023-07-20,Back to the Future Part III,1990,https://boxd.it/4xHF6z,3.5,,"<blockquote><b><i>Good one</i></b></blockquote><i>This movie resumes right after the events of the previous part..I think the movie is good in parts ,for few scenes I felt bored and pace of the movie is kinda slow...

Overall a decent ending to the triology.
(3.5)</i>",,2023-07-19
2023-07-21,Demolition,2015,https://boxd.it/4xZjpF,3.5,,This movie is kinda depressing for me😶,,2023-07-20
2023-07-22,Mission: Impossible,1996,https://boxd.it/4ynYR9,3,,"<b><i>A decent Action thriller

</i></b>",,2023-07-21
2023-07-23,The Worst Person in the World,2021,https://boxd.it/4yRMQt,4,,At one point I thought she really is the worst person in the world....,,2023-07-22
2023-07-23,Oppenheimer,2023,https://boxd.it/4zcBZB,4.5,,"<i><b>I LOVED IT</b>

Movie is very engaging and have many engaging conversations and the visuals of atoms are spectacular in the movie...Biggest plus of the movie is background score, It helped many scenes to elevate...

Cillian Murphy killed it as Oppenheimer, It's his best work till date and Christopher Nolan's too....</i>",,2023-07-23
2023-07-24,Barbie,2023,https://boxd.it/4zmQe1,3,,"<i><b>Average one
</b>
The Barbie movie deals with patriarchy in a very subtle way. However, halfway through the movie, it really tested my patience as I couldn't connect with the characters. I give it three stars primarily for the impressive sets they used and the commendable performances by Margot Robbie and Ryan Gosling.

<b>It has been said that if you dislike Barbie, this movie is for you, but it just didn't resonate with me.</b></i>",,2023-07-24
2023-07-24,Whiplash,2014,https://boxd.it/4zH2Mf,5,Yes,<b><i>This movie never gets old......</i></b>,,2023-07-24
2023-07-25,Zindagi Na Milegi Dobara,2011,https://boxd.it/4zKqyR,4,,"<b><i>I absolutely loved it! 

The film completely engrossed me, and I lost track of time while watching it. It's a fantastic movie centered around friendship. The characters were so captivating, and I really enjoyed witnessing their personal growth as they overcame their fears.</i></b>",,2023-07-24
2023-07-25,Inception,2010,https://boxd.it/4zQXyR,4,,"""<b><i>Mind-Blowing Inception!</i></b>""

""<i>Inception"" is a mind-bending movie that leaves you questioning reality. The concept and dream sequences are incredible. It's a must-see film that'll keep you thinking long after it's over.""</i>",,2023-07-25
2023-07-26,Veera Bhoga Vasantha Rayalu,2018,https://boxd.it/4Af2m5,3.5,Yes,"<i><b>Intriguing </b>

Great story line,Good performance by the leads the biggest let down of the film is it's taking and editing...The editing is worst i have ever seen...Other than that it's a great movie with great twist....</i>",,2023-07-25
2023-07-27,Mission: Impossible II,2000,https://boxd.it/4AAHoX,2,,"<i><b>Boring
</b>
Right from the start I felt bored.And action scenes are decent.But I think the story isn't intresting at all.And over the top action sequences made me feel much bored..</i>",,2023-07-26
2023-07-27,Silver Linings Playbook,2012,https://boxd.it/4AD3qF,4,,"<b><i>I absolutely loved it!

The best thing about the movie is its well-developed characters. The lead characters' arcs are superbly portrayed, and I connected with them right from the beginning. Moreover, the movie has a well-paced and engaging storyline. Overall, it's a fantastic romantic comedy that I highly recommend watching.</i></b>",,2023-07-26
